Total_Vehiculos,Tiempo_Medio_s,Ocupacion_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion
6,3.32,100.00,08:25:41,08:26:14,1,4
7,4.29,100.00,08:28:16,08:28:49,1,4
3,12.42,100.00,08:30:47,08:31:20,1,4
0,0.00,100.00,08:33:19,08:33:52,1,4
7,3.43,100.00,08:37:54,08:38:27,1,4
3,1.58,28.28,08:40:27,08:41:00,1,4
2,3.83,39.39,08:42:58,08:43:31,1,4
5,2.27,100.00,08:45:30,08:46:03,1,4
7,2.21,51.26,08:48:00,08:48:33,1,4
9,2.60,100.00,08:50:36,08:51:09,1,4
6,3.23,100.00,08:53:06,08:53:39,1,4
11,2.50,96.97,08:55:34,08:56:07,1,4
10,3.20,100.00,08:58:08,08:58:41,1,4
10,3.48,52.02,09:00:40,09:01:13,1,4
5,6.50,68.43,09:03:12,09:03:45,1,4
6,5.73,88.89,09:05:43,09:06:16,1,4
9,1.64,100.00,09:08:16,09:08:49,1,4
2,4.25,100.00,09:10:49,09:11:22,1,4
6,2.15,100.00,09:13:21,09:13:54,1,4
8,1.35,50.76,09:15:54,09:16:27,1,4
8,3.06,100.00,09:18:25,09:18:58,1,4
5,2.40,95.45,09:20:57,09:21:30,1,4
5,2.02,100.00,09:23:32,09:24:05,1,4
4,1.61,100.00,09:26:01,09:26:34,1,4
2,16.17,100.00,09:28:33,09:29:06,1,4
5,3.92,100.00,09:31:04,09:31:37,1,4
8,3.15,56.31,09:33:36,09:34:09,1,4
6,3.05,100.00,09:36:09,09:36:42,1,4
6,1.97,57.07,09:38:40,09:39:13,1,4
6,2.37,75.25,09:41:11,09:41:44,1,4
6,2.40,54.55,09:43:44,09:44:17,1,4
6,1.65,82.58,09:46:16,09:46:49,1,4
6,4.45,100.00,09:48:46,09:49:19,1,4
6,4.62,54.80,09:51:19,09:51:52,1,4
13,2.33,100.00,09:53:50,09:54:23,1,4
7,1.71,42.68,09:56:22,09:56:55,1,4
6,4.22,100.00,09:58:53,09:59:26,1,4
12,2.00,100.00,10:01:24,10:01:57,1,4
13,1.94,100.00,10:04:02,10:04:35,1,4
5,3.88,94.70,10:06:32,10:07:05,1,4
8,3.45,100.00,10:09:04,10:09:37,1,4
5,7.33,71.72,10:11:36,10:12:09,1,4
11,3.17,65.15,10:14:06,10:14:39,1,4
8,1.27,62.63,10:16:38,10:17:11,1,4
