Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,move_time_s,cluster,Tiempo_Optimo,Hora_Minutos,Periodo_Dia,Total_Vehiculos_lag1,Ocupacion_lag1,Media_Movil_3ciclos,Tendencia_Vehiculos,Capacidad_Teorica,Saturacion_Actual
7,1.67,17.71,1900-01-01 08:00:09,08:00:42,2,1,33,0,35,480,1,0.0,0.0,7.0,0.0,19.76047904191617,0.3542424242424242
9,3.68,21.95,1900-01-01 08:00:20,08:00:53,3,1,33,0,35,480,1,7.0,17.71,8.0,2.0,8.967391304347826,1.0036363636363637
7,4.23,19.05,1900-01-01 08:00:29,08:01:02,4,1,33,0,35,480,1,9.0,21.95,7.666666666666667,-2.0,7.801418439716311,0.8972727272727273
7,2.0,16.25,1900-01-01 08:01:32,08:02:05,1,1,33,0,35,481,1,7.0,19.05,7.666666666666667,0.0,16.5,0.42424242424242425
9,3.03,23.8,1900-01-01 08:01:43,08:02:16,5,1,33,0,35,481,1,7.0,16.25,7.666666666666667,2.0,10.891089108910892,0.8263636363636363
6,2.98,16.44,1900-01-01 08:02:41,08:03:14,2,1,33,0,35,482,1,9.0,23.8,7.333333333333333,-3.0,11.073825503355705,0.5418181818181818
7,3.89,19.12,1900-01-01 08:02:52,08:03:25,3,1,33,0,35,482,1,6.0,16.44,7.333333333333333,1.0,8.483290488431876,0.8251515151515152
6,1.33,14.41,1900-01-01 08:03:01,08:03:34,4,1,33,0,35,483,1,7.0,19.12,6.333333333333333,-1.0,24.81203007518797,0.24181818181818182
3,1.93,7.81,1900-01-01 08:04:04,08:04:37,1,1,33,1,20,484,1,6.0,14.41,5.333333333333333,-3.0,17.098445595854923,0.17545454545454545
5,2.27,14.52,1900-01-01 08:04:15,08:04:48,5,1,33,1,20,484,1,3.0,7.81,4.666666666666667,2.0,14.537444933920705,0.34393939393939393
4,3.86,10.38,1900-01-01 08:05:13,08:05:46,2,1,33,1,20,485,1,5.0,14.52,4.0,-1.0,8.549222797927461,0.4678787878787879
8,2.16,21.46,1900-01-01 08:05:24,08:05:57,3,1,33,0,35,485,1,4.0,10.38,5.666666666666667,4.0,15.277777777777777,0.5236363636363637
8,2.17,20.97,1900-01-01 08:05:33,08:06:06,4,1,33,0,35,485,1,8.0,21.46,6.666666666666667,0.0,15.207373271889402,0.526060606060606
8,3.24,21.56,1900-01-01 08:06:36,08:07:09,1,1,33,0,35,486,1,8.0,20.97,8.0,0.0,10.185185185185185,0.7854545454545454
8,2.73,19.71,1900-01-01 08:06:47,08:07:20,5,1,33,0,35,486,1,8.0,21.56,8.0,0.0,12.087912087912088,0.6618181818181819
9,1.24,22.13,1900-01-01 08:07:45,08:08:18,2,1,33,0,35,487,1,8.0,19.71,8.333333333333334,1.0,26.612903225806452,0.3381818181818182
5,2.57,12.03,1900-01-01 08:07:56,08:08:29,3,1,33,1,20,487,1,9.0,22.13,7.333333333333333,-4.0,12.84046692607004,0.3893939393939394
3,3.4,6.94,1900-01-01 08:08:05,08:08:38,4,1,33,1,20,488,1,5.0,12.03,5.666666666666667,-2.0,9.705882352941178,0.3090909090909091
8,2.52,21.3,1900-01-01 08:09:08,08:09:41,1,1,33,0,35,489,1,3.0,6.94,5.333333333333333,5.0,13.095238095238095,0.610909090909091
9,1.67,23.6,1900-01-01 08:09:19,08:09:52,5,1,33,0,35,489,1,8.0,21.3,6.666666666666667,1.0,19.76047904191617,0.4554545454545454
4,3.42,10.96,1900-01-01 08:10:17,08:10:50,2,1,33,1,20,490,1,9.0,23.6,7.0,-5.0,9.649122807017545,0.4145454545454545
2,1.39,5.07,1900-01-01 08:10:28,08:11:01,3,1,33,1,20,490,1,4.0,10.96,5.0,-2.0,23.741007194244606,0.08424242424242423
8,3.89,20.02,1900-01-01 08:10:37,08:11:10,4,1,33,0,35,490,1,2.0,5.07,4.666666666666667,6.0,8.483290488431876,0.943030303030303
7,3.16,17.09,1900-01-01 08:11:40,08:12:13,1,1,33,0,35,491,1,8.0,20.02,5.666666666666667,-1.0,10.443037974683543,0.6703030303030304
2,1.78,4.78,1900-01-01 08:11:51,08:12:24,5,1,33,1,20,491,1,7.0,17.09,5.666666666666667,-5.0,18.53932584269663,0.10787878787878787
