Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
8,3.24,21.68,07:59:38,08:00:11,1,3,1
7,1.21,18.81,08:00:16,08:00:49,1,4,2
4,2.8,9.68,08:00:54,08:01:27,1,2,3
7,2.0,16.25,08:01:32,08:02:05,1,1,4
6,2.72,16.44,08:02:10,08:02:43,1,3,1
4,2.64,11.38,08:02:48,08:03:21,1,4,2
8,1.28,19.39,08:03:26,08:03:59,1,2,3
3,1.93,7.81,08:04:04,08:04:37,1,1,4
6,3.65,15.18,08:04:42,08:05:15,1,3,1
8,1.35,19.63,08:05:20,08:05:53,1,4,2
5,4.06,12.17,08:05:58,08:06:31,1,2,3
8,3.24,21.56,08:06:36,08:07:09,1,1,4
4,1.16,10.91,08:07:14,08:07:47,1,3,1
4,1.42,11.01,08:07:52,08:08:25,1,4,2
4,2.85,10.21,08:08:30,08:09:03,1,2,3
8,2.52,21.3,08:09:08,08:09:41,1,1,4
8,3.79,20.13,08:09:46,08:10:19,1,3,1
2,1.24,4.15,08:10:24,08:10:57,1,4,2
8,3.56,21.23,08:11:02,08:11:35,1,2,3
7,3.16,17.09,08:11:40,08:12:13,1,1,4
8,2.95,20.85,08:12:18,08:12:51,1,3,1
6,1.97,15.8,08:12:56,08:13:29,1,4,2
8,2.38,19.96,08:13:34,08:14:07,1,2,3
8,2.54,19.66,08:14:12,08:14:45,1,1,4
7,1.78,17.01,08:14:50,08:15:23,1,3,1
7,1.13,17.38,08:15:28,08:16:01,1,4,2
9,2.23,25.28,08:16:06,08:16:39,1,2,3
3,1.75,4.34,08:16:44,08:17:17,1,1,4
3,1.53,7.69,08:17:22,08:17:55,1,3,1
7,3.81,18.63,08:18:00,08:18:33,1,4,2
9,4.37,24.09,08:18:38,08:19:11,1,2,3
5,2.44,6.28,08:19:16,08:19:49,1,1,4
9,3.76,24.62,08:19:54,08:20:27,1,3,1
6,1.12,16.95,08:20:32,08:21:05,1,4,2
8,3.24,22.6,08:21:10,08:21:43,1,2,3
9,2.94,14.73,08:21:48,08:22:21,1,1,4
3,1.15,6.55,08:22:26,08:22:59,1,3,1
9,3.92,22.47,08:23:04,08:23:37,1,4,2
4,4.15,8.9,08:23:42,08:24:15,1,2,3
2,5.08,5.24,08:24:20,08:24:53,1,1,4
7,3.66,18.56,08:24:58,08:25:31,1,3,1
4,1.74,11.11,08:25:36,08:26:09,1,4,2
6,3.09,16.36,08:26:14,08:26:47,1,2,3
4,4.03,6.22,08:26:52,08:27:25,1,1,4
5,2.94,12.1,08:27:30,08:28:03,1,3,1
3,1.16,9.12,08:28:08,08:28:41,1,4,2
4,1.95,10.55,08:28:46,08:29:19,1,2,3
9,2.24,14.32,08:29:24,08:29:57,1,1,4
6,2.85,16.58,08:30:02,08:30:35,1,3,1
5,1.91,11.59,08:30:40,08:31:13,1,4,2
2,2.75,5.61,08:31:18,08:31:51,1,2,3
8,1.63,12.86,08:31:56,08:32:29,1,1,4
5,3.06,11.61,08:32:34,08:33:07,1,3,1
6,1.75,14.81,08:33:12,08:33:45,1,4,2
3,4.14,7.82,08:33:50,08:34:23,1,2,3
2,1.75,3.42,08:34:28,08:35:01,1,1,4
6,3.1,15.56,08:35:06,08:35:39,1,3,1
5,3.1,15.92,08:35:44,08:36:17,1,4,2
8,1.31,21.71,08:36:22,08:36:55,1,2,3
4,2.08,6.27,08:37:00,08:37:33,1,1,4
2,2.3,4.07,08:37:38,08:38:11,1,3,1
2,4.08,17.59,08:38:16,08:38:49,1,4,2
5,2.24,13.34,08:38:54,08:39:27,1,2,3
7,4.26,8.09,08:39:32,08:40:05,1,1,4
5,2.35,14.32,08:40:10,08:40:43,1,3,1
