Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
2,2.2,3.97,07:58:15,07:58:48,2,3,1
6,2.89,14.57,07:58:53,07:59:26,2,4,2
3,4.18,6.96,07:59:31,08:00:04,2,2,3
7,1.67,17.71,08:00:09,08:00:42,2,1,4
7,1.35,16.82,08:00:47,08:01:20,2,3,1
4,3.49,9.89,08:01:25,08:01:58,2,4,2
3,1.87,6.9,08:02:03,08:02:36,2,2,3
6,2.98,16.44,08:02:41,08:03:14,2,1,4
6,3.74,16.53,08:03:19,08:03:52,2,3,1
4,3.74,10.49,08:03:57,08:04:30,2,4,2
2,2.61,4.26,08:04:35,08:05:08,2,2,3
4,3.86,10.38,08:05:13,08:05:46,2,1,4
5,2.59,13.7,08:05:51,08:06:24,2,3,1
6,3.17,16.35,08:06:29,08:07:02,2,4,2
7,3.37,17.45,08:07:07,08:07:40,2,2,3
9,1.24,22.13,08:07:45,08:08:18,2,1,4
8,2.33,22.81,08:08:23,08:08:56,2,3,1
3,3.36,8.33,08:09:01,08:09:34,2,4,2
9,1.44,22.06,08:09:39,08:10:12,2,2,3
4,3.42,10.96,08:10:17,08:10:50,2,1,4
4,3.85,11.1,08:10:55,08:11:28,2,3,1
3,1.83,6.23,08:11:33,08:12:06,2,4,2
7,4.46,18.88,08:12:11,08:12:44,2,2,3
5,3.01,12.18,08:12:49,08:13:22,2,1,4
2,1.84,4.69,08:13:27,08:14:00,2,3,1
10,1.85,17.53,08:14:05,08:14:38,2,4,2
6,3.02,14.65,08:14:43,08:15:16,2,2,3
4,2.76,10.05,08:15:21,08:15:54,2,1,4
2,1.99,5.98,08:15:59,08:16:32,2,3,1
7,2.39,11.11,08:16:37,08:17:10,2,4,2
4,2.42,9.8,08:17:15,08:17:48,2,2,3
9,2.48,21.26,08:17:53,08:18:26,2,1,4
7,1.93,16.99,08:18:31,08:19:04,2,3,1
5,2.4,9.68,08:19:09,08:19:42,2,4,2
6,1.58,15.52,08:19:47,08:20:20,2,2,3
