Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
5,2.41,14.03,07:58:26,07:58:59,3,3,1
2,2.38,4.28,07:59:04,07:59:37,3,4,2
4,5.67,5.88,07:59:42,08:00:15,3,2,3
9,3.68,21.95,08:00:20,08:00:53,3,1,4
4,3.01,10.16,08:00:58,08:01:31,3,3,1
2,4.08,5.57,08:01:36,08:02:09,3,4,2
7,2.68,9.49,08:02:14,08:02:47,3,2,3
7,3.89,19.12,08:02:52,08:03:25,3,1,4
9,2.34,11.28,08:03:30,08:04:03,3,3,1
5,3.14,13.31,08:04:08,08:04:41,3,4,2
7,2.15,10.47,08:04:46,08:05:19,3,2,3
8,2.16,21.46,08:05:24,08:05:57,3,1,4
8,1.71,10.27,08:06:02,08:06:35,3,3,1
2,1.44,4.94,08:06:40,08:07:13,3,4,2
6,1.3,9.88,08:07:18,08:07:51,3,2,3
5,2.57,12.03,08:07:56,08:08:29,3,1,4
9,2.43,15.63,08:08:34,08:09:07,3,3,1
7,2.94,19.52,08:09:12,08:09:45,3,4,2
4,4.22,6.22,08:09:50,08:10:23,3,2,3
2,1.39,5.07,08:10:28,08:11:01,3,1,4
4,6.61,4.79,08:11:06,08:11:39,3,3,1
5,2.12,8.71,08:11:44,08:12:17,3,4,2
2,13.33,4.92,08:12:22,08:12:55,3,2,3
8,3.91,19.59,08:13:00,08:13:33,3,1,4
9,2.47,14.07,08:13:38,08:14:11,3,3,1
6,1.55,8.32,08:14:16,08:14:49,3,4,2
7,2.47,15.36,08:14:54,08:15:27,3,2,3
5,2.7,11.76,08:15:32,08:16:05,3,1,4
5,2.71,9.83,08:16:10,08:16:43,3,3,1
13,2.2,25.76,08:16:48,08:17:21,3,4,2
6,3.05,13.61,08:17:26,08:17:59,3,2,3
2,1.44,5.6,08:18:04,08:18:37,3,1,4
7,2.43,13.38,08:18:42,08:19:15,3,3,1
9,1.9,18.19,08:19:20,08:19:53,3,4,2
5,7.08,6.73,08:19:58,08:20:31,3,2,3
6,4.0,16.41,08:20:36,08:21:09,3,1,4
6,2.07,11.38,08:21:14,08:21:47,3,3,1
3,5.17,2.9,08:21:52,08:22:25,3,4,2
5,1.75,8.19,08:22:30,08:23:03,3,2,3
8,3.18,21.29,08:23:08,08:23:41,3,1,4
6,6.05,14.03,08:23:46,08:24:19,3,3,1
8,2.73,12.64,08:24:24,08:24:57,3,4,2
6,4.07,10.12,08:25:02,08:25:35,3,2,3
6,4.09,15.37,08:25:40,08:26:13,3,1,4
7,1.74,11.28,08:26:18,08:26:51,3,3,1
3,14.58,2.91,08:26:56,08:27:29,3,4,2
6,5.47,14.44,08:27:34,08:28:07,3,2,3
6,5.33,9.12,08:28:12,08:28:45,3,1,4
10,2.76,25.08,08:28:50,08:29:23,3,3,1
3,2.58,8.54,08:29:28,08:30:01,3,4,2
5,3.27,7.83,08:30:06,08:30:39,3,2,3
5,2.06,7.55,08:30:44,08:31:17,3,1,4
3,1.67,7.11,08:31:22,08:31:55,3,3,1
10,2.94,14.32,08:32:00,08:32:33,3,4,2
6,1.7,9.28,08:32:38,08:33:11,3,2,3
4,7.92,3.47,08:33:16,08:33:49,3,1,4
14,1.79,22.61,08:33:54,08:34:27,3,3,1
4,3.61,13.21,08:34:32,08:35:05,3,4,2
4,8.78,5.7,08:35:10,08:35:43,3,2,3
3,6.67,3.18,08:35:48,08:36:21,3,1,4
6,4.23,9.98,08:36:26,08:36:59,3,3,1
6,2.27,10.37,08:37:04,08:37:37,3,4,2
4,7.11,6.36,08:37:42,08:38:15,3,2,3
11,2.71,9.85,08:38:20,08:38:53,3,1,4
8,1.96,16.86,08:38:58,08:39:31,3,3,1
2,1.25,3.07,08:39:36,08:40:09,3,4,2
6,3.85,6.1,08:40:14,08:40:47,3,2,3
3,10.92,5.29,08:40:52,08:41:25,3,1,4
8,2.32,18.76,08:41:30,08:42:03,3,3,1
2,3.0,4.38,08:42:08,08:42:41,3,4,2
8,2.13,12.85,08:42:46,08:43:19,3,2,3
4,8.92,5.33,08:43:24,08:43:57,3,1,4
3,2.04,3.87,08:44:02,08:44:35,3,3,1
7,4.86,10.87,08:44:40,08:45:13,3,4,2
3,4.38,7.35,08:45:18,08:45:51,3,2,3
4,4.36,7.82,08:45:56,08:46:29,3,1,4
4,8.03,6.31,08:46:34,08:47:07,3,3,1
11,2.23,21.22,08:47:12,08:47:45,3,4,2
4,5.08,7.88,08:47:50,08:48:23,3,2,3
7,2.99,9.07,08:48:28,08:49:01,3,1,4
10,2.47,19.77,08:49:06,08:49:39,3,3,1
7,1.67,13.24,08:49:44,08:50:17,3,4,2
2,2.33,2.71,08:50:22,08:50:55,3,2,3
8,1.96,6.72,08:51:00,08:51:33,3,1,4
6,4.3,13.35,08:51:38,08:52:11,3,3,1
6,1.52,10.53,08:52:16,08:52:49,3,4,2
