Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
3,3.46,5.53,07:59:49,08:00:22,5,3,1
3,1.58,6.94,08:00:27,08:01:00,5,4,2
7,4.43,20.09,08:01:05,08:01:38,5,2,3
9,3.03,23.8,08:01:43,08:02:16,5,1,4
6,2.17,6.84,08:02:21,08:02:54,5,3,1
9,2.68,14.8,08:02:59,08:03:32,5,4,2
3,3.83,22.73,08:03:37,08:04:10,5,2,3
5,2.27,14.52,08:04:15,08:04:48,5,1,4
9,2.85,17.18,08:04:53,08:05:26,5,3,1
4,3.08,8.06,08:05:31,08:06:04,5,4,2
7,2.21,17.29,08:06:09,08:06:42,5,2,3
8,2.73,19.71,08:06:47,08:07:20,5,1,4
8,3.01,14.05,08:07:25,08:07:58,5,3,1
6,1.52,8.14,08:08:03,08:08:36,5,4,2
2,1.26,17.2,08:08:41,08:09:14,5,2,3
9,1.67,23.6,08:09:19,08:09:52,5,1,4
12,2.26,21.91,08:09:57,08:10:30,5,3,1
12,2.53,17.82,08:10:35,08:11:08,5,4,2
3,1.24,8.39,08:11:13,08:11:46,5,2,3
2,1.78,4.78,08:11:51,08:12:24,5,1,4
6,5.48,8.04,08:12:29,08:13:02,5,3,1
7,1.62,15.8,08:13:07,08:13:40,5,4,2
8,2.94,20.01,08:13:45,08:14:18,5,2,3
4,3.32,9.09,08:14:23,08:14:56,5,1,4
11,2.58,12.91,08:15:01,08:15:34,5,3,1
7,2.44,9.7,08:15:39,08:16:12,5,4,2
5,1.66,13.84,08:16:17,08:16:50,5,2,3
7,4.46,17.49,08:16:55,08:17:28,5,1,4
9,2.32,15.91,08:17:33,08:18:06,5,3,1
7,1.72,7.13,08:18:11,08:18:44,5,4,2
8,2.02,21.86,08:18:49,08:19:22,5,2,3
7,3.6,16.66,08:19:27,08:20:00,5,1,4
11,1.98,13.12,08:20:05,08:20:38,5,3,1
4,2.33,3.98,08:20:43,08:21:16,5,4,2
5,1.95,12.52,08:21:21,08:21:54,5,2,3
3,4.17,3.47,08:21:59,08:22:32,5,1,4
15,1.98,21.02,08:22:37,08:23:10,5,3,1
7,1.74,8.77,08:23:15,08:23:48,5,4,2
5,1.55,11.38,08:23:53,08:24:26,5,2,3
2,4.0,2.16,08:24:31,08:25:04,5,1,4
6,6.12,7.7,08:25:09,08:25:42,5,3,1
7,1.9,10.8,08:25:47,08:26:20,5,4,2
7,1.32,17.43,08:26:25,08:26:58,5,2,3
5,3.81,5.07,08:27:03,08:27:36,5,1,4
13,2.31,24.7,08:27:41,08:28:14,5,3,1
6,4.98,9.53,08:28:19,08:28:52,5,4,2
3,12.71,4.56,08:28:57,08:29:30,5,2,3
6,1.78,7.8,08:29:35,08:30:08,5,1,4
7,2.67,12.86,08:30:13,08:30:46,5,3,1
4,8.08,3.5,08:30:51,08:31:24,5,4,2
1,0.0,3.83,08:31:29,08:32:02,5,2,3
4,6.92,2.94,08:32:07,08:32:40,5,1,4
8,2.1,17.24,08:32:45,08:33:18,5,3,1
7,4.44,10.01,08:33:23,08:33:56,5,4,2
2,20.5,3.19,08:34:01,08:34:34,5,2,3
13,2.02,14.47,08:34:39,08:35:12,5,1,4
12,2.23,16.41,08:35:17,08:35:50,5,3,1
6,2.42,8.82,08:35:55,08:36:28,5,4,2
6,2.38,10.99,08:36:33,08:37:06,5,2,3
5,3.17,7.07,08:37:11,08:37:44,5,1,4
6,1.45,8.2,08:37:49,08:38:22,5,3,1
10,2.22,12.22,08:38:27,08:39:00,5,4,2
5,2.69,12.79,08:39:05,08:39:38,5,2,3
5,3.33,4.5,08:39:43,08:40:16,5,1,4
5,3.06,5.84,08:40:21,08:40:54,5,3,1
10,1.7,14.22,08:40:59,08:41:32,5,4,2
6,4.67,9.27,08:41:37,08:42:10,5,2,3
4,1.94,4.06,08:42:15,08:42:48,5,1,4
12,1.99,12.67,08:42:53,08:43:26,5,3,1
13,1.4,22.61,08:43:31,08:44:04,5,4,2
